time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
1/29/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
1/30/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
1/31/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
2/1/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
2/2/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
2/3/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
2/4/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
2/5/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
2/6/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
2/7/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
2/8/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
2/9/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
2/10/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
2/11/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
2/12/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
2/13/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
2/14/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
2/15/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
2/16/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
2/17/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
2/18/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
2/19/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
2/20/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
2/21/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
2/22/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
2/23/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
2/24/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
2/25/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
2/26/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
2/27/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
2/28/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
3/1/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
3/2/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
3/3/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
3/4/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
3/5/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
3/6/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
3/7/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
3/8/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
3/9/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
3/10/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
3/11/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
3/12/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
3/13/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
3/14/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
3/15/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
3/16/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
3/17/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
3/18/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
3/19/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
3/20/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
3/21/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
3/22/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
3/23/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
3/24/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
3/25/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
3/26/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
3/27/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
3/28/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
3/29/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
3/30/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
3/31/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
4/1/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
4/2/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
4/3/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
4/4/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
4/5/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
4/6/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
4/7/1994,67945.14,67945.14,67945.14,0,0,67945.14,direct,
